# NE_LO   sin2theta_W   A(s)   dchi2
    3    1.816667E-02    1.304980E-01    5.403908E+01
    4    1.816667E-02    1.304980E-01    9.185102E+00
    1    1.833333E-02    1.308472E-01    1.600334E+03
    2    1.833333E-02    1.308472E-01    3.104080E+02
    3    1.833333E-02    1.308472E-01    5.399568E+01
    4    1.833333E-02    1.308472E-01    9.177726E+00
    1    1.850000E-02    1.311969E-01    1.599046E+03
    2    1.850000E-02    1.311969E-01    3.101583E+02
    3    1.850000E-02    1.311969E-01    5.395225E+01
    4    1.850000E-02    1.311969E-01    9.170343E+00
    1    1.866667E-02    1.315470E-01    1.597758E+03
    2    1.866667E-02    1.315470E-01    3.099083E+02
    3    1.866667E-02    1.315470E-01    5.390877E+01
    4    1.866667E-02    1.315470E-01    9.162953E+00
    1    1.883333E-02    1.318976E-01    1.596468E+03
    2    1.883333E-02    1.318976E-01    3.096581E+02
    3    1.883333E-02    1.318976E-01    5.386525E+01
    4    1.883333E-02    1.318976E-01    9.155556E+00
    1    1.900000E-02    1.322487E-01    1.595177E+03
    2    1.900000E-02    1.322487E-01    3.094077E+02
    3    1.900000E-02    1.322487E-01    5.382169E+01
    4    1.900000E-02    1.322487E-01    9.148152E+00
    1    1.916667E-02    1.326003E-01    1.593885E+03
    2    1.916667E-02    1.326003E-01    3.091571E+02
    3    1.916667E-02    1.326003E-01    5.377809E+01
    4    1.916667E-02    1.326003E-01    9.140741E+00
    1    1.933333E-02    1.329523E-01    1.592591E+03
    2    1.933333E-02    1.329523E-01    3.089062E+02
    3    1.933333E-02    1.329523E-01    5.373445E+01
    4    1.933333E-02    1.329523E-01    9.133324E+00
    1    1.950000E-02    1.333048E-01    1.591297E+03
    2    1.950000E-02    1.333048E-01    3.086551E+02
    3    1.950000E-02    1.333048E-01    5.369077E+01
    4    1.950000E-02    1.333048E-01    9.125899E+00
    1    1.966667E-02    1.336577E-01    1.590001E+03
    2    1.966667E-02    1.336577E-01    3.084038E+02
    3    1.966667E-02    1.336577E-01    5.364705E+01
    4    1.966667E-02    1.336577E-01    9.118468E+00
    1    1.983333E-02    1.340111E-01    1.588704E+03
    2    1.983333E-02    1.340111E-01    3.081522E+02
    3    1.983333E-02    1.340111E-01    5.360329E+01
    4    1.983333E-02    1.340111E-01    9.111030E+00
    1    2.000000E-02    1.343650E-01    1.587406E+03
    2    2.000000E-02    1.343650E-01    3.079004E+02
    3    2.000000E-02    1.343650E-01    5.355949E+01
    4    2.000000E-02    1.343650E-01    9.103585E+00
    1    2.016667E-02    1.347193E-01    1.586107E+03
    2    2.016667E-02    1.347193E-01    3.076484E+02
    3    2.016667E-02    1.347193E-01    5.351565E+01
    4    2.016667E-02    1.347193E-01    9.096134E+00
    1    2.033333E-02    1.350741E-01    1.584806E+03
    2    2.033333E-02    1.350741E-01    3.073961E+02
    3    2.033333E-02    1.350741E-01    5.347177E+01
    4    2.033333E-02    1.350741E-01    9.088676E+00
    1    2.050000E-02    1.354294E-01    1.583504E+03
    2    2.050000E-02    1.354294E-01    3.071436E+02
    3    2.050000E-02    1.354294E-01    5.342785E+01
    4    2.050000E-02    1.354294E-01    9.081211E+00
    1    2.066667E-02    1.357852E-01    1.582201E+03
    2    2.066667E-02    1.357852E-01    3.068909E+02
    3    2.066667E-02    1.357852E-01    5.338389E+01
    4    2.066667E-02    1.357852E-01    9.073739E+00
    1    2.083333E-02    1.361414E-01    1.580897E+03
    2    2.083333E-02    1.361414E-01    3.066380E+02
    3    2.083333E-02    1.361414E-01    5.333989E+01
    4    2.083333E-02    1.361414E-01    9.066261E+00
    1    2.100000E-02    1.364980E-01    1.579592E+03
    2    2.100000E-02    1.364980E-01    3.063848E+02
    3    2.100000E-02    1.364980E-01    5.329586E+01
    4    2.100000E-02    1.364980E-01    9.058775E+00
    1    2.116667E-02    1.368552E-01    1.578286E+03
    2    2.116667E-02    1.368552E-01    3.061315E+02
