# A   chi2_sinNuisance   chi2_conNuisance
  1.470147E+01    2.391143E+03    3.722663E+01
  1.473147E+01    2.401621E+03    3.723737E+01
  1.476148E+01    2.412122E+03    3.724807E+01
  1.479148E+01    2.422646E+03    3.725872E+01
  1.482148E+01    2.433193E+03    3.726933E+01
  1.485149E+01    2.443763E+03    3.727990E+01
  1.488149E+01    2.454356E+03    3.729042E+01
  1.491149E+01    2.464972E+03    3.730090E+01
  1.494149E+01    2.475611E+03    3.731134E+01
  1.497150E+01    2.486273E+03    3.732173E+01
  1.500150E+01    2.496958E+03    3.733208E+01
  1.503150E+01    2.507665E+03    3.734239E+01
  1.506151E+01    2.518396E+03    3.735266E+01
  1.509151E+01    2.529150E+03    3.736289E+01
  1.512151E+01    2.539927E+03    3.737308E+01
  1.515152E+01    2.550726E+03    3.738322E+01
  1.518152E+01    2.561549E+03    3.739333E+01
  1.521152E+01    2.572395E+03    3.740339E+01
  1.524152E+01    2.583264E+03    3.741341E+01
  1.527153E+01    2.594155E+03    3.742340E+01
  1.530153E+01    2.605070E+03    3.743334E+01
  1.533153E+01    2.616007E+03    3.744325E+01
  1.536154E+01    2.626968E+03    3.745311E+01
  1.539154E+01    2.637952E+03    3.746294E+01
  1.542154E+01    2.648958E+03    3.747273E+01
  1.545155E+01    2.659988E+03    3.748248E+01
  1.548155E+01    2.671040E+03    3.749219E+01
  1.551155E+01    2.682116E+03    3.750186E+01
  1.554155E+01    2.693214E+03    3.751149E+01
  1.557156E+01    2.704336E+03    3.752109E+01
  1.560156E+01    2.715480E+03    3.753065E+01
  1.563156E+01    2.726647E+03    3.754017E+01
  1.566157E+01    2.737838E+03    3.754966E+01
  1.569157E+01    2.749051E+03    3.755911E+01
  1.572157E+01    2.760287E+03    3.756852E+01
  1.575158E+01    2.771547E+03    3.757789E+01
  1.578158E+01    2.782829E+03    3.758723E+01
  1.581158E+01    2.794134E+03    3.759654E+01
  1.584158E+01    2.805462E+03    3.760581E+01
  1.587159E+01    2.816814E+03    3.761504E+01
  1.590159E+01    2.828188E+03    3.762423E+01
  1.593159E+01    2.839585E+03    3.763340E+01
  1.596160E+01    2.851005E+03    3.764252E+01
  1.599160E+01    2.862448E+03    3.765161E+01
  1.602160E+01    2.873914E+03    3.766067E+01
  1.605161E+01    2.885403E+03    3.766969E+01
  1.608161E+01    2.896915E+03    3.767868E+01
  1.611161E+01    2.908451E+03    3.768764E+01
  1.614161E+01    2.920009E+03    3.769656E+01
  1.617162E+01    2.931590E+03    3.770545E+01
  1.620162E+01    2.943193E+03    3.771430E+01
  1.623162E+01    2.954820E+03    3.772312E+01
  1.626163E+01    2.966470E+03    3.773191E+01
  1.629163E+01    2.978143E+03    3.774066E+01
  1.632163E+01    2.989839E+03    3.774938E+01
  1.635164E+01    3.001558E+03    3.775807E+01
  1.638164E+01    3.013300E+03    3.776673E+01
  1.641164E+01    3.025065E+03    3.777536E+01
  1.644164E+01    3.036852E+03    3.778395E+01
  1.647165E+01    3.048663E+03    3.779251E+01
  1.650165E+01    3.060497E+03    3.780104E+01
  1.653165E+01    3.072354E+03    3.780954E+01
  1.656166E+01    3.084233E+03    3.781801E+01
